Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1946,6,1.116,,0.692,-0.045,-0.006,-0.700,,,,1.393,,,0.550,5.800,-1.017,0
1946,7,1.025,,0.692,-0.039,0.001,-0.688,,,,1.381,,,0.550,5.940,-0.957,0
1946,8,1.025,,0.686,-0.024,0.007,-0.670,,,,1.356,,,0.530,5.970,-0.926,0
1946,9,0.994,,0.662,-0.045,-0.018,-0.700,,,,1.362,,,0.570,5.970,-0.957,0
1946,10,1.177,,0.662,-0.048,-0.006,-0.670,,,,1.332,,,0.580,5.980,-0.896,0
1946,11,1.299,,0.644,-0.063,-0.030,-0.700,,,,1.344,,,0.580,6.070,-1.048,0
1946,12,1.147,,0.567,-0.149,-0.103,-0.777,,,,1.344,,,0.490,6.060,-1.353,0
1947,1,1.116,,0.601,-0.131,-0.094,-0.789,,,,1.390,,,0.420,6.030,-1.566,0
1947,2,1.299,,0.586,-0.134,-0.100,-0.786,,,,1.372,,,0.490,6.090,-1.353,0
1947,3,1.573,,0.656,-0.067,-0.021,-0.697,,,,1.353,,,0.430,6.090,-1.139,0
1947,4,1.025,,0.619,-0.097,-0.057,-0.731,,,,1.350,,,0.500,6.010,-1.048,0
1947,5,1.086,,0.665,-0.045,-0.012,-0.688,,,,1.353,,,0.470,5.950,-1.078,0
1947,6,1.147,,,,,,,,,,,,,,-0.926,0
1956,9,1.147,,0.760,0.001,0.034,-0.691,,,,1.451,,,0.470,6.000,-1.017,0
1956,10,1.147,,0.729,-0.030,0.007,-0.719,,,,1.448,,,0.480,5.940,-1.078,0
1956,11,1.147,,0.738,-0.039,0.007,-0.722,,,,1.460,,,0.490,5.940,-1.261,0
1956,12,1.086,,0.668,-0.094,-0.042,-0.755,,,,1.423,,,0.510,5.850,-1.536,0
1957,1,1.086,,0.537,-0.204,-0.176,-0.886,,,,1.423,,,0.550,5.890,-1.322,0
1957,2,1.269,,0.598,-0.131,-0.106,-0.810,,,,1.408,,,0.540,5.900,-1.292,0
1957,3,1.208,,0.692,-0.054,-0.006,-0.707,,,,1.399,,,0.390,5.900,-1.078,0
1957,4,1.086,,0.595,-0.137,-0.115,-0.829,,,,1.423,,,0.410,5.910,-1.261,0
1957,5,1.055,,0.677,-0.070,-0.030,-0.734,,,,1.411,,,0.420,5.790,-0.957,0
1957,6,1.238,,0.720,-0.036,0.007,-0.710,,,,1.430,,,0.490,5.860,-0.926,0
1957,7,1.086,,0.741,-0.021,0.019,-0.704,,,,1.445,,,0.450,5.890,-1.017,0
1957,8,1.269,,0.720,-0.048,-0.012,-0.746,,,,1.466,,,0.490,5.840,-1.231,0
1957,9,1.238,,0.705,-0.045,-0.012,-0.728,,,,1.433,,,0.470,5.860,-1.078,0
1957,10,1.238,,0.708,-0.033,0.007,-0.694,,,,1.402,,,0.400,5.880,-1.170,0
1957,11,1.238,,0.677,-0.063,-0.036,-0.749,,,,1.426,,,0.390,5.900,-1.109,0
1957,12,1.086,,0.616,-0.115,-0.076,-0.768,,,,1.384,,,0.360,5.950,-1.139,0
1958,1,1.238,,0.705,-0.027,0.016,-0.673,,,,1.378,,,0.450,5.990,-1.170,0
1958,2,1.238,,0.671,-0.079,-0.045,-0.758,,,,1.430,,,0.460,5.610,-1.139,0
1958,3,1.269,,0.811,0.058,0.107,-0.600,,,,1.411,,,0.560,6.000,-1.170,0
1958,4,1.543,,0.784,0.022,0.071,-0.646,,,,1.430,,,0.460,5.960,-0.896,0
1958,5,1.208,,0.726,-0.054,0.001,-0.725,,,,1.451,,,0.460,5.880,-1.170,0
1958,6,1.116,,0.750,-0.015,0.028,-0.691,,,,1.442,,,0.580,5.860,-0.957,0
1958,7,1.025,,0.750,-0.015,0.022,-0.707,,,,1.457,,,0.630,5.900,-0.896,0
1958,8,1.208,,0.744,0.007,0.028,-0.685,,,,1.430,,,0.610,5.840,-0.926,0
1958,9,1.208,,0.753,0.019,0.037,-0.679,,,,1.433,,,0.570,5.890,-1.139,0
1958,10,1.177,,0.778,0.049,0.071,-0.636,,,,1.414,,,0.500,5.920,-1.231,0
1958,11,1.421,,0.747,-0.021,0.004,-0.740,,,,1.487,,,0.430,5.900,-1.597,0
1958,12,1.208,,0.644,-0.127,-0.082,-0.810,,,,1.454,,,0.460,5.840,-1.353,0
1959,1,0.964,,0.598,-0.161,-0.121,-0.838,,,,1.436,,,0.450,5.900,-1.779,0
1959,2,0.964,,0.546,-0.207,-0.185,-0.917,,,,1.463,,,0.310,5.840,-1.627,0
1959,3,1.269,,0.635,-0.121,-0.091,-0.816,,,,1.451,,,0.400,5.840,-1.322,0
1959,4,1.238,,0.695,-0.070,-0.030,-0.752,,,,1.448,,,0.390,5.800,-1.048,0
1959,5,1.147,,0.628,-0.124,-0.091,-0.807,,,,1.436,,,0.410,5.790,-1.139,0
1959,6,1.177,,0.717,-0.024,0.007,-0.707,,,,1.423,,,0.520,5.850,-0.987,0
1959,7,1.116,,0.665,-0.063,-0.036,-0.734,,,,1.399,,,0.400,5.890,-0.987,0
1959,8,0.994,,0.717,0.004,0.025,-0.670,,,,1.387,,,0.460,5.930,-0.957,0
1959,9,1.025,,0.714,-0.027,-0.006,-0.722,,,,1.436,,,0.450,5.850,-0.957,0
1959,10,1.177,,0.760,0.004,0.034,-0.691,,,,1.451,,,0.330,5.870,-1.078,0
1959,11,1.238,,0.695,-0.067,-0.039,-0.774,,,,1.469,,,0.380,5.910,-1.261,0
1959,12,1.390,,0.711,-0.051,-0.024,-0.758,,,,1.469,,,0.440,5.890,-1.200,0
1960,1,1.512,,0.695,-0.085,-0.045,-0.786,,,,1.481,,,0.670,5.890,-1.231,0
1960,2,1.543,,0.692,-0.045,-0.015,-0.722,,,,1.414,,,0.480,5.990,-1.231,0
1960,3,1.025,,0.699,-0.048,-0.012,-0.722,,,,1.420,,,0.490,5.830,-1.414,0
1960,4,1.086,,0.714,-0.006,0.019,-0.676,,,,1.390,,,0.580,6.320,-1.048,0
1960,5,1.208,,0.760,0.031,0.068,-0.624,,,,1.384,,,0.500,5.740,-0.957,0
1960,6,1.299,,0.787,0.016,0.074,-0.636,,,,1.423,,,0.630,5.990,-0.987,0
1960,7,1.360,,0.763,0.010,0.055,-0.655,,,,1.417,,,0.640,6.160,-1.017,0
1960,8,1.238,,0.775,0.010,0.055,-0.664,,,,1.439,,,0.390,5.900,-1.048,0
1960,9,2.244,,0.784,0.004,0.049,-0.688,,,,1.472,,,0.580,5.940,-0.987,0
1960,10,1.360,,0.787,0.010,0.055,-0.676,,,,1.463,,,0.510,6.120,-0.987,0
1960,11,1.208,,0.699,-0.060,-0.015,-0.728,,,,1.426,,,0.460,5.930,-1.078,0
1960,12,1.421,,0.644,-0.134,-0.085,-0.816,,,,1.460,,,0.500,5.940,-1.200,0
1961,1,1.421,,0.607,-0.143,-0.103,-0.810,,,,1.417,,,0.380,5.930,-1.231,0
1961,2,1.238,,0.674,-0.060,-0.021,-0.716,,,,1.390,,,0.450,5.740,-1.139,0
1961,3,1.177,,0.714,-0.002,0.010,-0.694,,,,1.408,,,0.420,5.910,-1.109,0
1961,4,1.238,,0.778,0.037,0.071,-0.636,,,,1.414,,,0.410,5.830,-0.987,0
1961,5,1.025,,0.720,-0.030,0.007,-0.710,,,,1.430,,,0.580,5.970,-1.048,0
1961,6,1.116,,0.714,-0.015,0.001,-0.713,,,,1.426,,,0.690,5.980,-1.017,0
1961,7,1.208,,0.769,-0.018,0.025,-0.722,,,,1.490,,,0.490,5.890,-1.017,0
1961,8,1.147,,0.708,-0.048,-0.024,-0.752,,,,1.460,,,0.480,5.840,-1.078,0
1961,9,1.299,,0.723,-0.024,0.022,-0.679,,,,1.402,,,0.520,5.920,-0.926,0
1961,10,1.329,,0.747,0.004,0.055,-0.633,,,,1.381,,,0.570,5.910,-0.896,0
1961,11,1.116,,0.683,-0.054,-0.012,-0.707,,,,1.390,,,0.430,5.830,-1.170,0
1961,12,1.238,,0.625,-0.103,-0.063,-0.752,,,,1.378,,,0.530,5.850,-1.231,0
1962,2,1.208,,0.659,-0.097,-0.057,-0.774,,,,1.433,,,0.500,5.810,-1.170,0
1962,3,1.604,,0.732,-0.015,0.034,-0.664,,,,1.396,,,0.270,6.090,-1.170,0
1962,4,1.147,,0.665,-0.094,-0.060,-0.783,,,,1.448,,,0.380,5.860,-1.261,0
1962,5,1.208,,0.717,-0.051,-0.018,-0.749,,,,1.466,,,0.400,5.810,-1.017,0
1962,6,1.055,,0.717,-0.030,0.007,-0.707,,,,1.423,,,0.640,5.910,-1.048,0
